name,latitude,longitude,ratings,no_of_reviews,category,description,small_photo
Aadhyatmik Shiva Shakti Puja Samagri Pasal,27.6915826,85.3057474,5.0,17,General store,·,https://lh5.googleusercontent.com/p/AF1QipN8FWAobpTMG_RCW6WkHuLcZ77j27Urn3qpSAYt=w1200-h1200-k-no
Single Tree,27.7252484,85.2747592,4.1,977,Tourist attraction,,https://lh5.googleusercontent.com/p/AF1QipMkiEA7hH3lDdvnxitZWzRwa-q_qRnl-Y36hObz=w1200-h1200-k-no
The Yellow House,27.6823689,85.3058992,4.1,367,Restaurant,Relaxed B&B with free Wi-Fi & a garden,https://lh5.googleusercontent.com/p/AF1QipP57fOzy5DhZ60UHBiJET5_JFo0OAGkyN7xeFDF=w1200-h1200-k-no
Lhakpa's Chulo,27.6755095,85.3127445,4.3,273,Tibetan,·,https://lh5.googleusercontent.com/p/AF1QipOIEcX8Zm75EAhSReuf0ta8kng4-nM0U8C7gShb=w1200-h1200-k-no
Seto Machhindra Nath Temple,27.7066835,85.3102246,4.6,1173,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipO5HO8pjyej_81WBKmHkmCxWx2RgMkJo68dBar6=w1200-h1200-k-no
Ink Buzzar,27.6735567,85.3236175,4.9,251,Tattoo and piercing shop,·,https://lh5.googleusercontent.com/p/AF1QipNl7ZGlhJclKlEycTrF3fGmVsiuPA9NaBhyYSqM=w1200-h1200-k-no
Mo:Mo Madness,27.6754066,85.3104139,4.0,46,Momo restaurant,·,https://lh5.googleusercontent.com/p/AF1QipMlShoAwMKNDoXc8G5-hsVZFVz-QwiaGdhTPn1u=w1200-h1200-k-no
BUDDHA PARK Boudhanath,27.7223837,85.3614813,4.5,484,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipOw-uioxxXZ0XaWhehgZmlttKxh3t_IeLE_LFaT=w1200-h1200-k-no
Godavari Forest,27.5851938,85.4014387,4.4,804,Park,·,https://lh5.googleusercontent.com/p/AF1QipMF6cG4rK3Tf3NdOZMEIAG4LrsDXNzmENMRcGHy=w1200-h1200-k-no
Mustang Thakali Kitchen,27.6783211,85.3129971,3.7,260,Rice restaurant,,https://lh5.googleusercontent.com/p/AF1QipMEo9OYvs_tGXen3D52ovjO3-iv6h0ujgAEN380=w1200-h1200-k-no
Guitar Shop,27.6743726,85.3145611,4.1,241,Musical instrument store,·,https://lh5.googleusercontent.com/p/AF1QipMhEPNRUlzjdT_QA2xyomuaLOCJjLTfj8EqzR8=w1200-h1200-k-no
Kanchan Yoga Nepal,27.6794755,85.3066704,5.0,47,Yoga studio,,https://lh5.googleusercontent.com/p/AF1QipNwJx7p2XiRa8p7uVG0hgoNBLphi__FP1Eq0uS0=w1200-h1200-k-no
Sophia Mega Mart,27.6521883,85.3184543,3.8,140,General store,·,https://lh3.googleusercontent.com/gps-proxy/AE4_-5HL_xtC3aOfswAwnB9MCefRZNxksWrzowjc50JTMOFVoiS3ln-8eFKQT-fDkqk3BhjUKBrAgOge7w_DrVys83l3NLfOvj4khdV6ih4kbMmJ5XAUnIYIWOpGimDVacQ1eq3zqi4LotXx2oV88w00HHzLuwsgjRtpwv2dvXQ9EQHOiquwl4DV4hMeTE2GjjiNsytXRA=w1200-h1200-k-no
Shakya House,27.6791254,85.3254774,4.5,71,2-star hotel,Relaxed guesthouse with a terrace,https://lh3.googleusercontent.com/gps-proxy/AE4_-5EtSTLF1BGWa-rnR4esD7F1yCmHnMHSDDjvD1ikMNhcIhUG51zSqqY0UXimKDaAXsvgIRU6wB_tDPo91d3Dob8OPaWXMJ37G8YQA-B1NshNUEhdnhKloXcogcNnIufChgH_VvP09ngN91nl8XW8PjaDU7x3Z4LnNLo_fNKFD1P4NTbjLdqXHuI=w1200-h1200-k-no
Chovar Danda,27.6613106,85.294992,4.3,228,Park,·,https://lh5.googleusercontent.com/p/AF1QipNu4wkMcD1ImU1V6XoDD1CjVJnfP3C-Ym0Wuihn=w1200-h1200-k-no
